Or65a	303	161	142
Orc5	32	16	17
Or59c	1	1	0
Or59b	2637	1370	1267
Or59a	0	1	0
Or98a	705	346	359
Or42b	2503	1289	1214
Or42a	31	17	14
Or22c	51	23	28
Or30a	0	0	0
Or24a	2	1	1
Or23a	924	466	458
Or1a	6	4	2
Or35a	579	274	305
Or83c	493	241	252
Orco	39638	20081	19558
Or82a	1681	857	824
Or56a	2243	1125	1118
Or47b	2478	1287	1191
Or43b	2424	1233	1191
Orc1	24	8	16
Or43a	1142	555	587
Or45a	144	79	65
Or45b	70	27	43
Or47a	319	167	154
Or49a	304	149	155
Or49b	401	212	189
Or13a	275	141	134
Or19a	306	150	156
Or92a	2259	1135	1124
Or85a	815	407	408
Or85d	3	2	1
Orc2	15	9	6
Or88a	1525	795	738
Or74a	0	1	0
Orc6	4	2	2
Or69a	1223	610	613
Or67c	356	181	175
Or67b	784	389	397
Or7a	1020	504	516
Ork1	979	487	492
Or9a	464	245	219
Or67d	2657	1303	1354
Or85e	11	4	7
Or85c	1378	688	690
Or85b	3207	1613	1594
Or94a	4	3	1
Or94b	0	0	0
Or33a	313	158	155
Or33b	36	11	25
Or33c	133	71	62
Orc4	18	7	11
Or10a	411	202	209
Or63a	10	3	7
