Or65a	269	148	121
Orc5	24	12	12
Or59c	2	1	1
Or59b	2133	1078	1055
Or59a	0	0	0
Or98a	787	375	412
Or42b	1581	804	777
Or42a	10	7	3
Or22c	39	16	23
Or30a	1	1	0
Or24a	0	0	0
Or23a	548	291	257
Or1a	3	2	1
Or35a	481	240	241
Or83c	371	189	182
Orco	26493	13271	13223
Or82a	1305	639	666
Or56a	1235	607	628
Or47b	970	503	467
Or43b	1844	894	951
Orc1	20	9	11
Or43a	614	300	315
Or45a	208	113	95
Or45b	24	14	10
Or47a	504	236	270
Or49a	246	130	116
Or49b	325	161	164
Or13a	316	149	167
Or19a	206	103	103
Or92a	2399	1206	1193
Or85a	938	481	457
Or85d	0	0	0
Orc2	3	1	2
Or88a	758	377	381
Or74a	0	0	0
Orc6	7	2	5
Or69a	750	375	375
Or67c	269	147	122
Or67b	528	251	278
Or7a	1029	517	512
Ork1	594	304	290
Or9a	809	404	406
Or67d	759	370	389
Or85e	5	2	3
Or85c	1664	847	817
Or85b	2088	1025	1063
Or94a	0	0	0
Or94b	0	0	0
Or33a	163	86	77
Or33b	20	12	8
Or33c	79	39	40
Orc4	7	3	4
Or10a	264	133	133
Or63a	2	1	1
