Orc6	40	19	31
Or10a	303	156	147
Ork1	963	473	490
Or1a	12	11	8
Or13a	1201	613	588
Or85d	11	5	6
Orc2	467	1344	1413
Or88a	309	183	179
Or92a	4831	2439	2392
Or83c	471	238	233
Orco	64062	32015	32066
Or82a	1036	546	490
Or85e	4	3	1
Or85c	289	155	134
Or85b	537	270	267
Or94a	2	2	1
Or94b	0	0	0
Or98a	156	91	65
Or35a	884	453	431
Or43b	1456	1781	1768
Orc1	17	13	6
Or43a	959	474	486
Or42b	7045	3502	3544
Or42a	146	95	88
Or45a	6	1	5
Or45b	69	40	29
Or47a	198	96	102
Or24a	3	2	1
Or22c	7	4	3
Or23a	321	169	152
Or30a	0	0	0
Or33a	134	62	72
Or33b	16	10	6
Or33c	27	13	14
Orc5	27	26	30
Or9a	1095	543	552
Or7a	626	296	330
Orc4	14	7	10
Or59c	0	1	0
Or59b	12561	6235	6327
Or59a	0	0	0
Or19a	208	104	104
Or56a	829	505	493
Or47b	856	444	412
Or49a	107	55	52
Or49b	236	125	111
Or74a	3	2	1
Or69a	673	327	346
Or67c	429	211	218
Or67b	194	120	129
Or63a	43	16	27
Or65a	435	231	204
Or67d	891	465	426
Or85a	1432	714	718
