	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acp70A	1.11927148305386	-2.70353367863057	1.85648261938507	-1.45626662506869	0.145318927924829	0.218620381471008
CecB	17.9285662562687	-1.26787955530095	0.313676104194164	-4.04200236596962	5.29966977854937e-05	0.00019894626511208
z	563.256865312473	-0.197760061313155	0.0497055773476793	-3.97862919748156	6.93137430771605e-05	0.000254330436780572
Est-P	12.9029607248631	-0.607024293107881	0.293917756267238	-2.06528622434079	0.0388959262218777	0.0709668305636441
cid	22.5339190404067	-0.179227230216749	0.22911059890917	-0.782273849704363	0.434053651716502	0.529516577420272
oxt	389.416248373475	0.164063424225455	0.0618837448255121	2.65115539933871	0.00802169239276403	0.0178749326863765
Acp53Ea	11.1538324175407	-2.18776904189657	0.783111201234777	-2.79368886365944	0.00521105897258023	0.0122112183100399
Hsp83	31015.0406894588	-0.65271351810642	0.0396410354094773	-16.4656021560519	6.48144580558111e-61	6.30618222002203e-59
Acp36DE	9.41083563582642	-0.611229570019158	0.784380945544337	-0.779250915631286	0.43583192256144	0.531348131119448
Ate1	984.163338158306	0.0535834894408113	0.0413922389919855	1.29452986225718	0.195482461296342	0.278405437722329
CG11208	846.456260137853	0.0805877078239896	0.0419727188919149	1.92000208591474	0.0548576359297967	0.0955520649163593
beta4GalT7	118.632252941403	0.0961697800272097	0.115308344053113	0.834022731112262	0.404268174748543	0.500480011195451
Sod	5268.9567848838	-0.0925887484881788	0.0230145141651737	-4.02305900631555	5.74470964926725e-05	0.000214051608072541
Top2	493.953468997773	-0.0497572799862434	0.0504888120358908	-0.985511006891439	0.324373127537675	0.418808093577756
mus209	47.3927866562543	0.218521948503534	0.160274478726821	1.36342323643425	0.172749162023471	0.252155068116867
Obp57e	7.67016754586342	0.706017608386584	0.381165034704796	1.8522622594	0.063988172346387	0.108486348385989
Acp29AB	0.698969372439901	-2.65329541785258	2.24950747802874	-1.17950059902787	0.238198898308062	NA
tra	127.715522486184	0.0225861779647755	0.136704784993996	0.165218634927574	0.868771898277461	0.902958366042685
