	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Irk3	333.67894849717	-0.0308809395713447	0.0755973364035374	-0.408492428972666	0.682912187791576	0.845246618252373
Ir25a	4762.39733096343	-0.0230602597263312	0.0338963722653189	-0.680316452328005	0.496304109342493	0.744456164013739
Ir94b	0.387323203138169	2.32217697535294	1.57228874951194	1.47694052766947	0.139691579948324	NA
Ir76a	608.641958942834	0.294522846935869	0.0469570076315577	6.27218091167149	3.56025557764246e-10	5.34038336646369e-09
Ir84a	679.828433336783	0.00895336170609306	0.0992317988995894	0.0902267398694725	0.928107035641328	0.966958615633834
Ir56d	1.24038262847424	1.33489155305927	0.984936730176928	1.35530690668778	0.175319795419151	0.37568527589818
Ir56a	10.6306478039039	0.690763202004408	0.328867444467369	2.10043047320528	0.0356909907185621	0.099535640545864
Ir48b	0.422636729385209	0.939651978703236	1.44573960002275	0.649945521785837	0.515727412149529	NA
Ir52c	1.20047546276738	0.905587891252038	0.923830124179075	0.980253693347305	0.326960906370862	0.544934843951437
Ir54a	2.09291238854166	0.8520142277353	0.708210385123066	1.20305243418203	0.228956030487334	0.457912060974669
Ir56b	0.469202532702976	-0.40065007211486	1.48631544821571	-0.26955924638732	0.787499356685026	NA
Ir56c	0.743233658824263	2.65548415004841	1.18104409124948	2.24842084196793	0.0245493674201824	0.0920601278256841
Ir76b	4274.04425893688	0.0266070923698764	0.0438833838415566	0.606313598466855	0.544306530341626	0.777580757630895
Ir20a	0.246399610111471	-0.0102398329806373	1.76842080083564	-0.00579038256946456	0.995379968963838	NA
Ir92a	522.28495737827	-0.17663398104308	0.0844591765580887	-2.09135334064731	0.0364964015334835	0.099535640545864
Irk2	3840.22074346778	-0.404222408324125	0.0698772679142413	-5.78474832216132	7.26209732912506e-09	7.26209732912506e-08
Irp-1A	1011.34331226553	0.00219863055478822	0.0416999711587172	0.0527249898188145	0.957951027718806	0.966958615633834
Ir85a	13.8105916199249	0.228210628973367	0.290180663674052	0.786443266356668	0.431607844228466	0.68148606983442
Irbp	158.488169001323	-0.0994895937835882	0.0884165446670111	-1.12523729759266	0.260488492059556	0.459685574222747
Ir87a	1.58443141887807	0.300840252240526	0.792884333238039	0.379425143907098	0.704372181876978	0.845246618252373
Ir75c	415.767211690927	0.45593467421257	0.0672010345753987	6.78463772311447	1.16378170323093e-11	3.4913451096928e-10
Ir75a	5392.55201662645	-0.0162580754205805	0.0287053637258589	-0.566377614157685	0.571137109111603	0.778823330606732
Ir68b	0.21884359326526	-0.0102399941811115	1.82107788668376	-0.00562304020931189	0.995513486675093	NA
Ir68a	9.72223968164252	-0.708650444727763	0.329764177092272	-2.14896126976665	0.0316374702303809	0.099535640545864
Ir67a	1.08270758024929	-0.238680141762914	0.988730012027209	-0.241400725030632	0.809244550872529	0.899160612080588
Irp-1B	2003.33794129425	-0.153127982988058	0.0427734828348396	-3.57997462070899	0.000343627580348105	0.00257720685261079
Ir94e	1.06893594165178	0.262168179770131	0.947336236537902	0.276742480292152	0.78197785069712	0.899160612080588
Ir94g	0.0970573846603644	0.951538448060704	3.03033317113226	0.314004564621905	0.753517571918052	NA
Ir41a	38.9189539430083	0.351924884437306	0.178983221400709	1.96624511327469	0.0492703035821389	0.123175758955347
Ire1	625.768064169781	-0.154525279506067	0.0654251463191372	-2.36186372059923	0.0181833251216339	0.0909166256081694
Ir60e	7.98176907062487	-0.417461981799829	0.36504660130056	-1.14358544994674	0.252795598647064	0.459685574222747
Ir60a	16.0625635907651	-0.133881017280359	0.25654979244981	-0.521851980474904	0.601773394513983	0.784921818931282
Ir60d	2.32812350919613	0.028550960869311	0.689252532527624	0.0414230772059829	0.966958615633834	0.966958615633834
Ir7d	0.687173058374677	-0.451029960619981	1.24096766655273	-0.36345021129591	0.716268599192182	NA
Ir7c	0.99499224989203	2.53272634241711	1.1074554569942	2.28697806888893	0.0221971032165881	0.0920601278256841
Ir7g	72.22096867269	0.422165337307539	0.120365953812954	3.50734841484807	0.000452596131972231	0.00271557679183339
Ir64a	2174.76971491243	0.0615988878191341	0.0358901367090553	1.71631800453946	0.0861038547528789	0.198701203275874
