	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Or59a	431.51514341451	-12.4134996774408	0.839272737292252	-14.7907815014825	1.67991870686853e-49	3.49983063930944e-49
Or98a	401.38804719352	5.16503764915133	0.20304468277096	25.4379360181406	9.60036820306129e-143	6.00023012691331e-142
Or42b	1229.54125031037	1.18469871387505	0.0779532099382545	15.1975616502955	3.67030468133905e-52	8.34160154849784e-52
Or42a	164.356365275952	-5.20804625016371	0.224340122592571	-23.214956780701	3.21581815061275e-119	1.4617355230058e-118
Or22c	1957.22620914246	-7.16871599086108	0.10570636644377	-67.817258619654	0	0
Or30a	181.756870991233	-11.1624827080075	0.836385316693122	-13.346100756696	1.2481317788576e-40	2.15195134285793e-40
Or24a	23598.0643940687	-14.9080527714315	0.377998536887458	-39.4394457031194	0	0
Or23a	800.82349369763	-1.36454479225366	0.0665974495109156	-20.4894452006004	2.67423171270231e-93	8.9141057090077e-93
Or1a	4.58895900487539	-0.0448249193962238	0.544969492605923	-0.0822521627437914	0.934446194060046	0.953516524551067
Or35a	350.425103120827	0.619810573526172	0.165513065977924	3.74478334906106	0.000180549508991898	0.000220182328038899
Or83c	424.349004819577	-0.835850958505137	0.0630513124183204	-13.2566781950485	4.12778550668816e-40	6.87964251114693e-40
Orco	16806.2848486988	11.9304659237965	0.313580425142226	38.0459523848958	0	0
Or82a	764.827947976315	11.5738436786672	0.915298816974146	12.6448799714707	1.19406753518382e-36	1.809193235127e-36
Or56a	917.513816205077	2.71464908192731	0.0939188665391785	28.9041933954228	1.0574947474601e-183	8.8124562288342e-183
Or47b	1129.21249931882	0.296851764280589	0.185093736861904	1.60379151295684	0.10876001597069	0.120844462189655
Or43b	1636.92233412676	-0.0245716855716303	0.0571195647924433	-0.430179845748424	0.667064821560725	0.694859189125755
Orc1	24.6522956200408	-1.38182597235672	0.381041583212838	-3.62644402404993	0.000287351074263732	0.000342084612218729
Or43a	813.97790122228	-0.862174146950448	0.0992144706953539	-8.69000399747959	3.62426736140456e-18	4.76877284395336e-18
Or45a	2640.58912022634	-5.62166224535807	0.151954256574496	-36.9957536701318	1.34007315201271e-299	1.34007315201271e-298
Or45b	78.60412360158	-3.24511741566855	0.195991894138694	-16.5574062638128	1.41566548638122e-61	3.7254354904769e-61
Or47a	226.246371555582	5.89126830746096	0.351504442210054	16.7601532157605	4.77392372521349e-63	1.32608992367041e-62
Or49a	157.873083241967	1.49509115432929	0.119644590528698	12.4961032314343	7.84010786280977e-36	1.1529570386485e-35
Or49b	253.453482030963	0.1735952906804	0.0937774451841002	1.85114118154536	0.064149244917465	0.072896869224392
Or13a	167.634280545607	5.97636181105468	0.457289735559957	13.0690924075445	4.94520079295249e-39	7.97613031121369e-39
Or19a	137.567662944807	4.36270734264415	0.273215830509839	15.9679888771564	2.13561430717082e-57	5.08479596945434e-57
Or92a	1501.88349398943	2.35767791524071	0.13043713861487	18.0752041962682	4.9970027718004e-73	1.46970669758835e-72
Or85a	479.670175345389	8.41970983890131	0.58482291493605	14.3970245075332	5.40195786500383e-47	1.03883805096228e-46
Or85d	44.5825318568782	-6.74327751120385	0.531379628109355	-12.6901317899529	6.70728272439314e-37	1.04801292568643e-36
Orc2	10.3246313645128	-1.86888029171856	0.346597640487737	-5.39207447889328	6.96488864886338e-08	8.92934442161972e-08
Or88a	539.935743384307	4.67459654274314	0.220350073173337	21.2144088514366	7.03048796470066e-100	2.51088855882167e-99
Or74a	18.0992621500485	-8.30135608937015	0.899226744305396	-9.23166058165063	2.66468264007058e-20	3.60092248658186e-20
Orc6	284.761361130544	-6.99214351991334	0.357549687932502	-19.5557254163604	3.68723613817938e-85	1.15226129318105e-84
Or69a	684.073405947472	0.137606550373048	0.124775623727822	1.10283199764415	0.270100129782229	0.29358709758938
Or67c	171.180034904506	3.52739801762357	0.232895829008387	15.1458187664518	8.07427567227451e-52	1.75527732005968e-51
Or67b	316.96787474858	8.68302992941279	0.725321818002259	11.9712791121165	5.02479409677166e-33	7.17827728110238e-33
Or7a	4401.93443370047	-3.89708477339218	0.169650195189261	-22.9712955475508	9.02793224097612e-117	3.76163843374005e-116
Ork1	440.430987725466	10.4130322500202	0.920152613437607	11.3166360644437	1.08558062439632e-29	1.50775086721711e-29
Or9a	413.103204982258	1.34158676518818	0.252568247129942	5.3117792138691	1.08560080093029e-07	1.35700100116287e-07
Or67d	1021.28383699591	-0.0132222144178296	0.237342615920067	-0.0557093986959452	0.955573312055648	0.955573312055648
Or85e	463.120143831703	-8.4887999962602	0.360013847311596	-23.5790930255887	6.31678307081056e-123	3.50932392822809e-122
Or85c	888.780659512494	3.32363744042249	0.207385974502238	16.0263366334189	8.36721802835304e-58	2.09180450708826e-57
Or85b	1369.84162677778	3.05485757970707	0.0813017527877639	37.574313898025	0	0
