128up	FBgn0176208	FBgn0182597	
14-3-3epsilon	FBgn0170212	FBgn0186839	
14-3-3zeta	FBgn0176067	FBgn0184006	
140up	FBgn0180739	FBgn0191925	
18w	FBgn0176867	FBgn0067532	
26-29-p	FBgn0180299	FBgn0186151	
312	FBgn0169330	FBgn0185324	
4EHP	FBgn0178382	FBgn0189856	
5-HT7	FBgn0167057	FBgn0188297	
7B2	FBgn0165752	FBgn0191274	
A16	FBgn0180777	FBgn0193504	
ACC	FBgn0175616	FBgn0181977	
AGO1	FBgn0178121	FBgn0084546	
AIF	FBgn0178594	FBgn0194524	
AP-1gamma	FBgn0168650	FBgn0188509	
AP-1sigma	FBgn0181394	FBgn0192503	
AP-2	FBgn0177258	FBgn0186649	
AP-2sigma	FBgn0170008	FBgn0191478	
AP-47	FBgn0181101	FBgn0192250	
AP-50	FBgn0181288	FBgn0041673	
APC4	FBgn0168644	FBgn0188507	
APP-BP1	FBgn0180109	FBgn0185968	
AQP	FBgn0175183	FBgn0197190	
AR-2	FBgn0167225	FBgn0189566	
ASPP	FBgn0170654	FBgn0196527	
ATP7	FBgn0168045	FBgn0188624	
ATPCL	FBgn0174984	FBgn0196863	
ATPsyn-Cf6	FBgn0178437	FBgn0189915	
ATPsyn-b	FBgn0180043	FBgn0185900	
ATPsyn-d	FBgn0178194	FBgn0084335	
ATPsyn-gamma	FBgn0167161	FBgn0189222	
Aac11	FBgn0172036	FBgn0193285	
Aats-ala	FBgn0167925	FBgn0193816	
Aats-ala-m	FBgn0169619	FBgn0185576	
Aats-arg	FBgn0177391	FBgn0196004	
Aats-asp	FBgn0176310	FBgn0182688	
Aats-cys	FBgn0176546	FBgn0182921	
Aats-gln	FBgn0172644	FBgn0189753	
Aats-glupro	FBgn0178389	FBgn0041672	
Aats-gly	FBgn0180359	FBgn0186203	
Aats-his	FBgn0177771	FBgn0188955	
Aats-ile	FBgn0177310	FBgn0186697	
Aats-leu	FBgn0169602	FBgn0185560	
Aats-lys	FBgn0166298	FBgn0187693	
Aats-met	FBgn0180721	FBgn0191908	
Aats-phe	FBgn0176381	FBgn0182756	
Aats-pro	FBgn0169041	FBgn0185094	
Aats-ser	FBgn0179087	FBgn0190522	
Aats-thr	FBgn0181585	FBgn0195188	
Aats-trp	FBgn0181129	FBgn0192272	
Aats-tyr	FBgn0179263	FBgn0184198	
Abd-B	FBgn0025061	FBgn0025043	
Abi	FBgn0180740	FBgn0191926	
Abl	FBgn0179243	FBgn0184183	
Ac3	FBgn0171056	FBgn0195675	
Ac78C	FBgn0177036	FBgn0183879	
AcCoAS	FBgn0177025	FBgn0183867	
Acam	FBgn0165216	FBgn0192685	
Ace	FBgn0180812	FBgn0022516	
Acer	FBgn0171967	FBgn0194932	
Acf1	FBgn0171368	FBgn0193029	
Ack	FBgn0169546	FBgn0185513	
